distcode,year,pop,density,name,xcoord,ycoord,bl_ags,bl_name
3252,2017,133849,185.941770945658,Hameln-Pyrmont,528.491661853855,5771.88239164972,3,Niedersachsen
3254,2017,255519,228.944079845738,Hildesheim,563.660263640856,5772.19873820403,3,Niedersachsen
3255,2017,66185,102.477529384651,Holzminden,538.873231181837,5743.91401694352,3,Niedersachsen
3256,2017,112072,86.7134963806913,Nienburg (Weser),517.446282517712,5833.19692991841,3,Niedersachsen
3257,2017,145006,233.665344541795,Schaumburg,514.55422604016,5791.58180610559,3,Niedersachsen
3351,2017,165536,115.270631021008,Celle,572.067436237862,5840.95651073368,3,Niedersachsen
3352,2017,185795,96.21315512125,Cuxhaven,492.307035533165,5937.42845075572,3,Niedersachsen
3353,2017,233205,201.458608674757,Harburg,560.232928160505,5907.94292530997,3,Niedersachsen
3354,2017,45799,39.4036928993986,Lüchow-Dannenberg,648.776134958137,5879.18164192768,3,Niedersachsen
3355,2017,170806,137.770279938846,Lüneburg,603.333416787276,5896.87608616974,3,Niedersachsen
3356,2017,107073,173.29584629292,Osterholz,482.886847105658,5901.26041627478,3,Niedersachsen
3357,2017,153547,78.7442524026644,Rotenburg (Wümme),520.545633902469,5900.77065371044,3,Niedersachsen
3358,2017,128374,73.9318079141088,Heidekreis,551.346173337966,5862.45244247373,3,Niedersachsen
3359,2017,185804,159.294765579384,Stade,523.926442521328,5939.22552350014,3,Niedersachsen
3360,2017,87660,63.4107986517069,Uelzen,602.82912538384,5871.77229710101,3,Niedersachsen
3361,2017,126729,173.045494279959,Verden,512.175484018578,5869.64603282615,3,Niedersachsen
3401,2017,66174,1241.3290632506,Delmenhorst,476.360291132377,5877.6565783325,3,Niedersachsen
3402,2017,45695,450.480683638953,Emden,379.890783385183,5914.39678687176,3,Niedersachsen
3403,2017,151530,1620.72945969541,Oldenburg (Oldb),448.03067709681,5888.57460166981,3,Niedersachsen
3404,2017,143480,1372.07011686144,Osnabrück,436.00208307902,5792.58770628448,3,Niedersachsen
3405,2017,69836,712.767348463622,Wilhelmshaven,440.050855103019,5936.04802921058,3,Niedersachsen
3451,2017,116425,168.861546041826,Ammerland,433.600063843896,5895.68178684002,3,Niedersachsen
3452,2017,179727,147.549248073577,Aurich,390.905789519045,5929.98045801407,3,Niedersachsen
3453,2017,150993,118.227901573556,Cloppenburg,430.21436588453,5865.42234170811,3,Niedersachsen
3454,2017,290162,112.230595040348,Emsland,389.293131620122,5840.13595525496,3,Niedersachsen
3455,2017,94320,161.614686725838,Friesland,433.33377015862,5929.67755019484,3,Niedersachsen
3456,2017,116702,138.37887939376,Grafschaft Bentheim,372.088513822775,5812.76682027219,3,Niedersachsen
3457,2017,156333,155.607338908743,Leer,397.063076671805,5896.0765658658,3,Niedersachsen
3458,2017,119448,122.012696743173,Oldenburg,458.489602019744,5870.74875740506,3,Niedersachsen
3459,2017,328653,167.847262478733,Osnabrück Kreis,442.639161890367,5802.99239590356,3,Niedersachsen
3460,2017,124127,172.611152051093,Vechta,444.053652557278,5834.58208089233,3,Niedersachsen
3461,2017,82316,107.934237008657,Wesermarsch,456.392629758417,5912.28865864811,3,Niedersachsen
3462,2017,54264,86.3669579514661,Wittmund,416.676552051659,5932.65613849187,3,Niedersachsen
4011,2017,468831,1741.38819056962,Bremen,487.098909516098,5885.6481744352,4,Bremen
4012,2017,93953,1205.35352458142,Bremerhaven,474.072450970493,5932.38150371319,4,Bremen
5111,2017,495490,2839.24382503105,Düsseldorf,345.288352306122,5678.54465993332,5,Nordrhein-Westfalen
5112,2017,397491,2139.64776632302,Duisburg,343.094600851922,5702.02826874823,5,Nordrhein-Westfalen
5113,2017,493996,2773.57136065418,Essen,364.124181571643,5700.77400359895,5,Nordrhein-Westfalen
5114,2017,191454,1645.488858242,Krefeld,331.224785449921,5691.23129742939,5,Nordrhein-Westfalen
