district,municipality,age_group,pop
1053,1053010,above65,23
1053,1053011,above65,111
1053,1053012,above65,967
1053,1053013,above65,48
1053,1053014,above65,355
1053,1053015,above65,56
1053,1053016,above65,43
1053,1053017,above65,117
1053,1053018,above65,56
1053,1053019,above65,43
1053,1053020,above65,1339
1053,1053021,above65,26
1053,1053022,above65,81
1053,1053023,above65,768
1053,1053024,above65,38
1053,1053025,above65,112
1053,1053026,above65,88
1053,1053027,above65,127
1053,1053028,above65,518
1053,1053029,above65,61
1053,1053030,above65,8
1053,1053031,above65,72
1053,1053032,above65,6890
1053,1053033,above65,33
1053,1053034,above65,47
1053,1053035,above65,14
1053,1053036,above65,68
1053,1053037,above65,99
1053,1053038,above65,141
1053,1053039,above65,42
1053,1053040,above65,13
1053,1053041,above65,1078
1053,1053042,above65,29
1053,1053043,above65,189
1053,1053044,above65,103
1053,1053045,above65,43
1053,1053046,above65,346
1053,1053047,above65,273
1053,1053048,above65,316
1053,1053049,above65,122
1053,1053050,above65,139
1053,1053051,above65,58
1053,1053052,above65,28
1053,1053053,above65,110
1053,1053054,above65,87
1053,1053056,above65,32
1053,1053057,above65,53
1053,1053058,above65,41
1053,1053059,above65,39
1053,1053060,above65,125
1053,1053061,above65,175
1053,1053062,above65,49
1053,1053064,above65,128
1053,1053066,above65,45
1053,1053067,above65,102
1053,1053068,above65,104
1053,1053069,above65,118
1053,1053070,above65,48
1053,1053071,above65,104
1053,1053072,above65,274
1053,1053073,above65,69
1053,1053074,above65,29
1053,1053075,above65,379
1053,1053076,above65,330
1053,1053077,above65,62
1053,1053078,above65,42
1053,1053079,above65,143
1053,1053080,above65,29
1053,1053081,above65,111
1053,1053082,above65,72
1053,1053083,above65,2636
1053,1053084,above65,114
1053,1053085,above65,212
1053,1053086,above65,44
1053,1053087,above65,147
1053,1053088,above65,25
1053,1053089,above65,98
1053,1053090,above65,4912
1053,1053091,above65,25
1053,1053092,above65,208
1053,1053093,above65,171
1053,1053094,above65,35
1053,1053095,above65,112
1053,1053096,above65,172
1053,1053097,above65,135
1053,1053098,above65,80
1053,1053099,above65,84
1053,1053100,above65,3901
1053,1053101,above65,55
1053,1053102,above65,12
1053,1053103,above65,148
1053,1053104,above65,111
1053,1053105,above65,330
1053,1053106,above65,87
1053,1053107,above65,137
1053,1053108,above65,316
1053,1053109,above65,101
1053,1053110,above65,132
1053,1053111,above65,197
1053,1053112,above65,192
1053,1053113,above65,99
1053,1053114,above65,43
1053,1053115,above65,94
1053,1053116,above65,3014
1053,1053117,above65,161
1053,1053118,above65,115
1053,1053119,above65,55
1053,1053120,above65,62
1053,1053121,above65,63
1053,1053122,above65,107
1053,1053123,above65,188
1053,1053124,above65,64
1053,1053125,above65,113
1053,1053126,above65,76
1053,1053127,above65,39
1053,1053128,above65,45
1053,1053129,above65,3112
1053,1053130,above65,126
1053,1053131,above65,35
1053,1053132,above65,251
1053,1053133,above65,659
1053,1053134,above65,55
1053,1053135,above65,39
1053,1053136,above65,218
1054,1054001,above65,301
1054,1054002,above65,114
