district,municipality,centroid_x,centroid_y
1053,1053023,590981.558921276,5928163.49636232
1053,1053024,604090.385081507,5955015.20002301
1053,1053025,603829.699872701,5951029.73243485
1053,1053026,613770.585753968,5953697.5599098
1053,1053027,601193.247596345,5934260.56927718
1053,1053028,587286.003998224,5924592.7383351
1053,1053029,609545.329938397,5929854.99588067
1053,1053030,614369.037994569,5946924.85881121
1053,1053031,601187.020382595,5937051.86960186
1053,1053032,592256.466323731,5921188.44498298
1053,1053033,613289.100660355,5950233.85503278
1053,1053034,607094.65443459,5953687.19803578
1053,1053035,613068.73522954,5932945.7071143
1053,1053036,600337.82936575,5930176.75029577
1053,1053037,612256.076247055,5936674.68572509
1053,1053038,601943.02456838,5959326.78979701
1053,1053039,596302.791210703,5956650.47984864
1053,1053040,611447.044858226,5955538.15179642
1053,1053041,614824.820153794,5963552.95474602
1053,1053042,603728.586717786,5931797.86758189
1053,1053043,613698.489837039,5959949.03734994
1053,1053044,603863.032214962,5961860.46936118
1053,1053045,598590.560156987,5932119.37369062
1053,1053046,618322.077552836,5935236.51681061
1053,1053047,599235.197610143,5924176.84697285
1053,1053048,610868.221097207,5932816.35417882
1053,1053049,595291.95633266,5939648.25004648
1053,1053050,594459.413816459,5923389.9798252
1053,1053051,613401.601623695,5952291.09887284
1053,1053052,597246.879297441,5933284.75110009
1053,1053053,591127.476910708,5925662.05399602
1053,1053054,620808.300590701,5939334.85390581
1053,1053056,609572.080011489,5935247.65239077
1053,1053057,617086.577516322,5942992.51316771
1053,1053058,600328.727401486,5920059.17735756
1053,1053059,604043.97595105,5934524.69782957
1053,1053060,593734.21476334,5935756.8196424
1053,1053061,603006.528323443,5956529.93555237
1053,1053062,626950.437198817,5947992.60872291
1053,1053064,605218.661716066,5930352.98260476
1053,1053066,623650.643821497,5938362.3477933
1053,1053067,610147.902287202,5958996.55808908
1053,1053068,602630.43279454,5953409.78736064
1053,1053069,600976.270400362,5944028.35712749
1053,1053070,600267.678069891,5941106.80242651
1053,1053071,597061.206392154,5925397.9731853
1053,1053072,588386.219302932,5926467.36095129
1053,1053073,601996.969572203,5918579.13322324
1053,1053074,598253.370608256,5919803.75581154
1053,1053075,608839.400285723,5960842.80134817
1053,1053076,593189.999533774,5937724.37614962
1053,1053077,606515.151913683,5949479.76003984
1053,1053078,611624.933883083,5952396.14217253
1053,1053079,600492.019764203,5952396.60567716
1053,1053080,614437.149530417,5928994.09685445
1053,1053081,610248.879069509,5947475.72768032
1053,1053082,606501.907980082,5917206.26852567
1053,1053083,603228.038148862,5915259.61065649
